"Kod";"Nazwa";"dzieci w wieku 3-5 lat przypadająca na jedną placówkę wychowania przedszkolnego;2023;[osoba]";
1821000;"Powiat leski";62,36;
1861000;"Powiat m. Krosno";75,19;
1862000;"Powiat m. Przemyśl";47,44;
1863000;"Powiat m. Rzeszów";68,10;
1864000;"Powiat m. Tarnobrzeg";52,65;
2001000;"Powiat augustowski";93,63;
2002000;"Powiat białostocki";133,83;
2003000;"Powiat bielski";104,50;
2004000;"Powiat grajewski";75,69;
2005000;"Powiat hajnowski";88,90;
2006000;"Powiat kolneński";152,29;
2007000;"Powiat łomżyński";141,27;
2008000;"Powiat moniecki";149,43;
2009000;"Powiat sejneński";117,00;
2010000;"Powiat siemiatycki";93,09;
2011000;"Powiat sokólski";87,11;
2012000;"Powiat suwalski";86,31;
2013000;"Powiat wysokomazowiecki";131,31;
2014000;"Powiat zambrowski";171,29;
2061000;"Powiat m. Białystok";64,76;
2062000;"Powiat m. Łomża";77,00;
2063000;"Powiat m. Suwałki";67,78;
2201000;"Powiat bytowski";96,50;
2202000;"Powiat chojnicki";89,47;
2203000;"Powiat człuchowski";94,94;
2204000;"Powiat gdański";75,39;
2205000;"Powiat kartuski";107,41;
2206000;"Powiat kościerski";80,47;
2207000;"Powiat kwidzyński";104,83;
2208000;"Powiat lęborski";74,54;
2209000;"Powiat malborski";96,89;
2210000;"Powiat nowodworski";75,33;
2211000;"Powiat pucki";70,13;
2212000;"Powiat słupski";92,03;
2213000;"Powiat starogardzki";95,11;
2214000;"Powiat tczewski";79,72;
2215000;"Powiat wejherowski";79,06;
2216000;"Powiat sztumski";100,91;
2261000;"Powiat m. Gdańsk";57,76;
2262000;"Powiat m. Gdynia";52,26;
2263000;"Powiat m. Słupsk";55,18;
2264000;"Powiat m. Sopot";37,06;
2401000;"Powiat będziński";71,36;
2402000;"Powiat bielski";80,46;
2403000;"Powiat cieszyński";63,07;
2404000;"Powiat częstochowski";69,50;
2405000;"Powiat gliwicki";89,00;
2406000;"Powiat kłobucki";82,21;
2407000;"Powiat lubliniecki";53,21;
2408000;"Powiat mikołowski";93,08;
2409000;"Powiat myszkowski";109,25;
2410000;"Powiat pszczyński";80,58;
2411000;"Powiat raciborski";53,87;
2412000;"Powiat rybnicki";120,73;
2413000;"Powiat tarnogórski";62,77;
2414000;"Powiat bieruńsko-lędziński";181,82;
2415000;"Powiat wodzisławski";86,83;
2416000;"Powiat zawierciański";95,18;
2417000;"Powiat żywiecki";54,84;
2461000;"Powiat m. Bielsko-Biała";54,06;
2462000;"Powiat m. Bytom";71,63;
2463000;"Powiat m. Chorzów";82,27;
2464000;"Powiat m. Częstochowa";54,78;
2465000;"Powiat m. Dąbrowa Górnicza";68,97;
2466000;"Powiat m. Gliwice";87,69;
2467000;"Powiat m. Jastrzębie-Zdrój";65,03;
2468000;"Powiat m. Jaworzno";75,27;
2469000;"Powiat m. Katowice";48,83;
2470000;"Powiat m. Mysłowice";78,11;
2471000;"Powiat m. Piekary Śląskie";78,39;
2472000;"Powiat m. Ruda Śląska";108,89;
2473000;"Powiat m. Rybnik";77,54;
2474000;"Powiat m. Siemianowice Śląskie";77,64;
2475000;"Powiat m. Sosnowiec";74,11;
2476000;"Powiat m. Świętochłowice";90,71;
2477000;"Powiat m. Tychy";65,41;
2478000;"Powiat m. Zabrze";85,85;
2479000;"Powiat m. Żory";86,81;
2601000;"Powiat buski";66,12;
2602000;"Powiat jędrzejowski";73,07;
2603000;"Powiat kazimierski";61,46;
2604000;"Powiat kielecki";95,00;
2605000;"Powiat konecki";52,21;
2606000;"Powiat opatowski";103,00;
2607000;"Powiat ostrowiecki";80,81;
2608000;"Powiat pińczowski";47,00;
2609000;"Powiat sandomierski";39,38;
2610000;"Powiat skarżyski";58,24;
2611000;"Powiat starachowicki";93,64;
2612000;"Powiat staszowski";81,96;
2613000;"Powiat włoszczowski";68,61;
2661000;"Powiat m. Kielce";65,99;
2801000;"Powiat bartoszycki";101,79;
2802000;"Powiat braniewski";87,92;
2803000;"Powiat działdowski";97,83;
2804000;"Powiat elbląski";215,43;
2805000;"Powiat ełcki";87,23;
2806000;"Powiat giżycki";97,67;
