"Kod";"Nazwa";"ludność w tysiącach;2023;[tys. osób]";
2062000;"Powiat m. Łomża";59,71;
2063000;"Powiat m. Suwałki";68,23;
2201000;"Powiat bytowski";76,50;
2202000;"Powiat chojnicki";96,02;
2203000;"Powiat człuchowski";53,14;
2204000;"Powiat gdański";131,73;
2205000;"Powiat kartuski";153,81;
2206000;"Powiat kościerski";72,20;
2207000;"Powiat kwidzyński";80,15;
2208000;"Powiat lęborski";63,68;
2209000;"Powiat malborski";60,65;
2210000;"Powiat nowodworski";33,63;
2211000;"Powiat pucki";91,66;
2212000;"Powiat słupski";96,29;
2213000;"Powiat starogardzki";125,13;
2214000;"Powiat tczewski";111,24;
2215000;"Powiat wejherowski";229,45;
2216000;"Powiat sztumski";38,34;
2261000;"Powiat m. Gdańsk";487,37;
2262000;"Powiat m. Gdynia";241,19;
2263000;"Powiat m. Słupsk";85,50;
2264000;"Powiat m. Sopot";31,90;
2401000;"Powiat będziński";144,69;
2402000;"Powiat bielski";165,82;
2403000;"Powiat cieszyński";174,79;
2404000;"Powiat częstochowski";131,57;
2405000;"Powiat gliwicki";113,18;
2406000;"Powiat kłobucki";81,96;
2407000;"Powiat lubliniecki";74,89;
2408000;"Powiat mikołowski";100,00;
2409000;"Powiat myszkowski";67,57;
2410000;"Powiat pszczyński";110,78;
2411000;"Powiat raciborski";99,33;
2412000;"Powiat rybnicki";76,67;
2413000;"Powiat tarnogórski";139,16;
2414000;"Powiat bieruńsko-lędziński";59,44;
2415000;"Powiat wodzisławski";150,27;
2416000;"Powiat zawierciański";111,63;
2417000;"Powiat żywiecki";148,83;
2461000;"Powiat m. Bielsko-Biała";165,77;
2462000;"Powiat m. Bytom";147,76;
2463000;"Powiat m. Chorzów";100,59;
2464000;"Powiat m. Częstochowa";205,97;
2465000;"Powiat m. Dąbrowa Górnicza";113,46;
2466000;"Powiat m. Gliwice";169,92;
2467000;"Powiat m. Jastrzębie-Zdrój";82,30;
2468000;"Powiat m. Jaworzno";86,81;
2469000;"Powiat m. Katowice";279,19;
2470000;"Powiat m. Mysłowice";71,28;
2471000;"Powiat m. Piekary Śląskie";51,71;
2472000;"Powiat m. Ruda Śląska";130,30;
2473000;"Powiat m. Rybnik";130,89;
2474000;"Powiat m. Siemianowice Śląskie";63,40;
2475000;"Powiat m. Sosnowiec";187,12;
2476000;"Powiat m. Świętochłowice";45,43;
2477000;"Powiat m. Tychy";122,05;
2478000;"Powiat m. Zabrze";153,84;
2479000;"Powiat m. Żory";61,77;
2601000;"Powiat buski";67,82;
2602000;"Powiat jędrzejowski";81,06;
2603000;"Powiat kazimierski";31,69;
2604000;"Powiat kielecki";211,76;
2605000;"Powiat konecki";73,74;
2606000;"Powiat opatowski";48,39;
2607000;"Powiat ostrowiecki";100,06;
2608000;"Powiat pińczowski";36,74;
2609000;"Powiat sandomierski";71,82;
2610000;"Powiat skarżyski";68,10;
2611000;"Powiat starachowicki";83,63;
2612000;"Powiat staszowski";68,45;
2613000;"Powiat włoszczowski";42,93;
2661000;"Powiat m. Kielce";182,30;
2801000;"Powiat bartoszycki";52,67;
2802000;"Powiat braniewski";37,28;
2803000;"Powiat działdowski";61,42;
2804000;"Powiat elbląski";54,14;
2805000;"Powiat ełcki";88,34;
2806000;"Powiat giżycki";53,74;
2807000;"Powiat iławski";89,87;
2808000;"Powiat kętrzyński";57,05;
2809000;"Powiat lidzbarski";38,13;
2810000;"Powiat mrągowski";47,47;
2811000;"Powiat nidzicki";30,46;
2812000;"Powiat nowomiejski";41,96;
2813000;"Powiat olecki";32,00;
2814000;"Powiat olsztyński";129,91;
2815000;"Powiat ostródzki";99,07;
2816000;"Powiat piski";51,97;
2817000;"Powiat szczycieński";66,54;
2818000;"Powiat gołdapski";24,86;
2819000;"Powiat węgorzewski";20,80;
2861000;"Powiat m. Elbląg";112,92;
2862000;"Powiat m. Olsztyn";167,31;
3001000;"Powiat chodzieski";45,21;
3002000;"Powiat czarnkowsko-trzcianecki";83,44;
3003000;"Powiat gnieźnieński";141,30;
3004000;"Powiat gostyński";73,52;
3005000;"Powiat grodziski";51,56;
3006000;"Powiat jarociński";69,75;
3007000;"Powiat kaliski";82,22;
3008000;"Powiat kępiński";55,92;
3009000;"Powiat kolski";81,56;
3010000;"Powiat koniński";128,84;
3011000;"Powiat kościański";77,24;
3012000;"Powiat krotoszyński";74,92;
3013000;"Powiat leszczyński";60,02;
3014000;"Powiat międzychodzki";35,59;
3015000;"Powiat nowotomyski";75,18;
3016000;"Powiat obornicki";58,81;
3017000;"Powiat ostrowski";158,49;
3018000;"Powiat ostrzeszowski";54,57;
3019000;"Powiat pilski";130,53;
3020000;"Powiat pleszewski";61,25;
3021000;"Powiat poznański";448,66;
3022000;"Powiat rawicki";58,60;
3023000;"Powiat słupecki";57,26;
3024000;"Powiat szamotulski";91,66;
3025000;"Powiat średzki";59,95;
3026000;"Powiat śremski";61,04;
3027000;"Powiat turecki";80,99;
3028000;"Powiat wągrowiecki";69,01;
3029000;"Powiat wolsztyński";56,67;
3030000;"Powiat wrzesiński";78,22;
3031000;"Powiat złotowski";67,30;
3061000;"Powiat m. Kalisz";93,14;
3062000;"Powiat m. Konin";67,07;
3063000;"Powiat m. Leszno";60,05;
3064000;"Powiat m. Poznań";538,44;
3201000;"Powiat białogardzki";44,37;
3202000;"Powiat choszczeński";44,42;
3203000;"Powiat drawski";53,52;
3204000;"Powiat goleniowski";81,36;
3205000;"Powiat gryficki";56,44;
3206000;"Powiat gryfiński";76,96;
3207000;"Powiat kamieński";44,14;
3208000;"Powiat kołobrzeski";76,72;
3209000;"Powiat koszaliński";64,45;
3210000;"Powiat myśliborski";62,22;
3211000;"Powiat policki";85,92;
3212000;"Powiat pyrzycki";36,41;
3213000;"Powiat sławieński";52,90;
3214000;"Powiat stargardzki";119,09;
3215000;"Powiat szczecinecki";72,72;
3216000;"Powiat świdwiński";43,24;
3217000;"Powiat wałecki";50,00;
3218000;"Powiat łobeski";33,39;
3261000;"Powiat m. Koszalin";105,54;
3262000;"Powiat m. Szczecin";389,07;
3263000;"Powiat m. Świnoujście";38,90;
